theme,sub_theme,feature_name,coordinates,lat,long
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens South,"-37.8060684577258, 144.971266479841",-37.8060684577258,144.971266479841
Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,"-37.7857860016289, 144.947580972027",-37.7857860016289,144.947580972027
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),University Square,"-37.800410711209, 144.960398319302",-37.800410711209,144.960398319302
Leisure/Recreation,Private Sports Club/Facility,Royal Park Golf Course,"-37.7819171308558, 144.956309119368",-37.7819171308558,144.956309119368
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Powlett Reserve,"-37.8116929882498, 144.987275671763",-37.8116929882498,144.987275671763
Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,"-37.7834303940347, 144.961982577553",-37.7834303940347,144.961982577553
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens North,"-37.8017690847403, 144.971997551189",-37.8017690847403,144.971997551189
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,"-37.8255239795833, 144.974107925144",-37.8255239795833,144.974107925144
Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,"-37.7908082646624, 144.912142987372",-37.7908082646624,144.912142987372
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,"-37.8143993575938, 144.975952335785",-37.8143993575938,144.975952335785
Leisure/Recreation,Theatre Live,Regent Theatre,"-37.8160014744179, 144.967916735261",-37.8160014744179,144.967916735261
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Batman Park,"-37.8218460949601, 144.956665812218",-37.8218460949601,144.956665812218
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,"-37.7844449253712, 144.951371205938",-37.7844449253712,144.951371205938
Leisure/Recreation,Private Sports Club/Facility,Melbourne International Shooting Club,"-37.8292844929826, 144.913415802464",-37.8292844929826,144.913415802464
Leisure/Recreation,Theatre Live,Malthouse Theatre,"-37.8271768001126, 144.966936821789",-37.8271768001126,144.966936821789
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Queen Victoria Gardens,"-37.8216381244891, 144.971049530478",-37.8216381244891,144.971049530478
